DQN,PPO,A2C,A2C-MLP,A2C-SU
-130.6713769,-452.8063978,-489.7518721,-673.2147334,-625.6556389
-157.1543207,-449.5042319,-496.8873113,-2218.149069,-693.8002904
-304.5926875,-513.9191587,-619.4620828,-1655.556499,-670.7341275
-388.4444372,-519.748652,-672.6823709,-1352.070506,-662.6289542
-444.94585,-505.8162904,-642.7669659,-1163.496501,-597.6536634
-480.829454,-495.1384344,-664.0109845,-1065.849996,-563.4692159
-514.5492918,-424.7598758,-619.5967497,-974.6975928,-555.4178544
-539.2083621,-390.2204078,-619.1283434,-961.0404457,-535.0082467
-557.5515381,-424.3950195,-615.5011258,-958.8772839,-517.1435329
-570.2845697,-403.4265885,-655.4566971,-895.3488459,-532.8620552
-579.8941417,-384.7496912,-649.9967176,-876.1358471,-514.7562937
-582.0119077,-371.2424072,-631.2826117,-868.4268216,-524.7552142
-591.404772,-358.7699551,-616.3159453,-841.8125239,-527.3339697
-581.9964106,-335.3311555,-608.6349286,-819.8951684,-524.23112
-581.7378448,-318.5453291,-599.2809437,-1000.216843,-523.8444323
-578.5838256,-307.5044948,-614.4187037,-985.2851451,-517.4911065
-577.6569892,-276.7492768,-617.6303901,-992.0501642,-503.6633422
-573.8789715,-264.4722961,-631.282582,-985.2831043,-501.3743678
-553.3074224,-247.5283818,-621.7135443,-980.1726356,-497.1378714
-548.8976485,-244.2418009,-612.8025633,-981.0937492,-497.1352276
-547.8353528,-236.0540223,-603.8875856,-978.2779003,-496.8270124
-540.1477922,-230.773703,-593.5801188,-1000.925935,-488.6983446
-522.9831278,-224.2712103,-583.9017539,-1033.900027,-494.637377
-518.9904791,-222.9111729,-579.2912126,-1028.378957,-503.9050923
-517.8471512,-222.9763806,-576.655264,-1014.393993,-502.5861852
-515.9164751,-220.3749801,-574.844162,-1061.691747,-496.931933
-522.0115117,-219.5648073,-567.3014556,-1065.121341,-488.7999261
-516.738138,-220.0926965,-559.2875556,-1054.487965,-490.0460144
-517.2057511,-222.8999132,-555.6446849,-1040.109189,-474.5768362
-518.6362213,-229.4967006,-546.1816277,-1027.016252,-461.8604419
-511.7934559,-230.6615976,-542.9360513,-1010.200514,-454.6231637
-516.8291482,-232.9713859,-542.5900294,-1015.520513,-454.3155607
-509.7067971,-245.3879294,-538.5929933,-1002.630237,-463.637901
-509.800183,-244.2573123,-532.0370265,-1079.396085,-462.4954055
-509.4661097,-249.8396617,-520.0549337,-1068.146447,-465.0938894
-510.3941098,-256.8139387,-510.8007616,-1073.474076,-472.4709745
-514.9228082,-255.3682029,-506.867908,-1076.748114,-479.873488
-520.098585,-253.7609932,-497.5598526,-1059.510149,-476.1846942
-517.551663,-289.843356,-488.1435274,-1056.051227,-465.6861629
