DQN,PPO,A2C,A2C-MLP,A2C-SU
-130.6713769,-489.7518721,-185.5117917,-439.7796037,-544.9251923
-157.1543207,-307.268892,-155.7357033,-445.8849047,-525.0289654
-304.5926875,-451.207253,-195.4664992,-534.4154018,-622.4614675
-388.4444372,-443.1541038,-217.5074712,-515.8378857,-638.4501313
-444.94585,-451.5080814,-254.7115936,-554.6248629,-644.2263426
-480.829454,-465.9859574,-230.4843679,-527.6118821,-622.3138746
-514.5492918,-510.4487823,-194.1095339,-508.8631589,-618.5875117
-539.2083621,-513.310735,-213.7482895,-492.6550251,-598.0098219
-557.5515381,-476.7768305,-206.5034631,-478.9416012,-570.8986587
-570.2845697,-481.8645081,-224.8406412,-452.1531943,-557.8183594
-579.8941417,-453.8864504,-215.6053207,-451.779137,-542.6549536
-582.0119077,-470.1415921,-231.2394584,-450.6466182,-546.2030487
-591.404772,-489.7070213,-242.7215714,-453.3709057,-542.9309127
-581.9964106,-494.763271,-252.1385998,-457.3966049,-554.0585902
-581.7378448,-493.0902771,-259.8661392,-446.6718912,-550.8068061
-578.5838256,-475.6378976,-269.5377358,-425.5281641,-552.1640325
-577.6569892,-466.4755096,-278.473005,-402.7496565,-539.9251819
-573.8789715,-447.2319936,-280.9296456,-384.1679903,-538.3930596
-553.3074224,-434.2841777,-283.6853521,-379.0345686,-536.1494941
-548.8976485,-419.6448057,-295.6471965,-372.9571539,-529.0987826
-547.8353528,-407.6778375,-307.3390918,-356.7316577,-526.9143905
-540.1477922,-394.8233622,-316.7521337,-358.9926965,-527.1037576
-522.9831278,-384.825652,-324.8844414,-348.4285035,-528.2803111
-518.9904791,-379.3241604,-339.4600997,-348.3589646,-522.7140709
-517.8471512,-371.5859829,-340.5846305,-340.3189743,-521.5357425
-515.9164751,-365.8184039,-343.09888,-338.9488134,-514.8282581
-522.0115117,-364.5404495,-345.5605092,-340.8254878,-505.0293037
-516.738138,-366.6787591,-352.1861529,-344.9538014,-498.6367788
-517.2057511,-366.8947664,-348.9724285,-350.1175725,-492.5621851
-518.6362213,-370.3834112,-344.0996015,-352.0400588,-490.0365248
-511.7934559,-382.5354093,-343.4438906,-357.4828555,-495.8173056
-516.8291482,-383.1858885,-337.7717982,-367.2233569,-492.2984885
-509.7067971,-387.1933305,-336.2906429,-358.932843,-489.5277652
-509.800183,-394.3131796,-334.7264485,-368.4452432,-479.6979763
-509.4661097,-398.3933202,-333.5833058,-379.6505471,-479.4044871
-510.3941098,-399.8789193,-329.0095436,-374.4571973,-479.8849104
-514.9228082,-403.9458333,-331.034636,-384.2542,-479.1415298
-520.098585,-402.8237925,-330.3215228,-391.8194223,-489.1759259
-517.551663,-400.4771475,-328.0366228,-390.6971077,-493.8878042
-520.1359467,-392.0092484,-324.2441146,-399.6125023,-489.1813941
-519.5973077,-402.1264532,-319.6106042,-394.813836,-496.1475659
-521.6014852,-404.4054366,-321.5901496,-399.3283275,-502.335154
-517.3789399,-416.6440033,-353.4676393,-405.5088712,-501.7591365
-515.8157374,-422.1720216,-348.1028552,-402.9020347,-501.2961907
-514.2595158,-426.1475943,-373.3203614,-400.487016,-494.0780577
-509.4085237,-437.6692635,-390.3468623,-397.9094192,-496.2296802
-509.8661753,-477.0658901,-388.4417527,-404.364075,-495.6631152
-501.5343915,-489.9739627,-429.6215964,-403.1646801,-499.8920465
-503.3020495,-497.2925647,-426.6738268,-403.1947707,-497.9670722
-504.8160287,-512.0373818,-428.8809778,-411.3495579,-492.5015262
-499.4828552,-507.1691323,-445.4939108,-421.3695768,-490.9257536
-492.4190191,-519.8806967,-477.7839716,-432.0187332,-491.1940023
-489.1765384,-524.1792936,-494.6425134,-430.1232935,-495.7000238
-487.260007,-534.7394241,-488.1977133,-425.6618513,-493.7496856
-481.667723,-532.9964838,-512.6593187,-432.8102462,-497.3349854
-477.9031849,-531.4494989,-521.5709455,-431.806826,-539.7498855
-473.7491466,-541.0193813,-518.0075082,-440.3429165,-541.6875627
-473.7947744,-538.0879662,-511.7870783,-436.7141469,-549.5188716
-468.4251548,-533.932326,-513.7628619,-446.8842643,-552.8302639
-462.3363388,-535.7383464,-525.773169,-454.5408006,-559.883879
-458.7205859,-539.5225768,-538.0981741,-454.1297039,-565.8573377
-458.693663,-537.4056431,-545.3767055,-461.1486427,-575.5515733
-454.8385061,-540.5700284,-553.9306013,-460.0457117,-573.3175426
-449.4658777,-539.4709255,-562.2451801,-460.9225569,-576.2037152
-447.6856927,-541.8442605,-563.6600213,-465.3249506,-608.6151567
-443.0002138,-545.4446753,-565.8038535,-470.9975,-604.1961757
-439.8836987,-549.0946943,-579.2902229,-470.8926102,-597.9517549
-436.9484968,-582.3840452,-580.068107,-469.7940979,-597.7768171
-435.2037733,-583.0748522,-596.6325105,-478.6629278,-660.1834884
-433.5866757,-607.2504304,-595.9140829,-484.1048983,-673.6299893
-432.5975542,-632.8685588,-606.6342759,-485.167413,-693.5386296
-431.1808893,-648.7057667,-617.3603862,-482.14311,-691.0517144
-428.4274848,-667.5779624,-618.3306304,-493.1034704,-685.1561034
-427.9989383,-679.90675,-619.4594604,-491.7947046,-699.3285727
-429.4295325,-684.8014892,-623.8179513,-493.3369987,-711.3148327
-429.2863101,-699.2094344,-636.2884967,-505.4866459,-724.0098479
-425.5534504,-719.3683315,-637.941694,-507.4101446,-721.3583919
-426.2697034,-755.2659958,-638.818939,-508.8822191,-716.2824695
-421.1728712,-793.7345707,-635.2053048,-508.8805621,-712.089659
-419.3440791,-842.5396232,-631.7340504,-507.3999678,-706.1241212
-416.7124654,-882.4037647,-644.9721456,-510.6543895,-732.4600705
-412.9916007,-901.0080937,-645.7016148,-512.427414,-728.0339742
-409.0076919,-925.0299403,-649.6724575,-511.2337994,-723.5173794
-405.2381229,-947.6410283,-669.0286492,-515.7504863,-730.7219487
-409.3711153,-948.7933386,-666.5547474,-519.5862603,-726.8033325
-410.3932704,-948.9088482,-675.7108374,-516.8408782,-733.7293645
-406.3116194,-947.1066666,-677.548204,-521.7849969,-760.9529513
-403.1321306,-953.5403837,-673.5193741,-526.6809389,-767.5652643
-401.7290695,-986.4179029,-669.421651,-524.746984,-786.5879262
-398.0383024,-1005.898962,-674.499686,-521.7216441,-791.6573075
-394.487772,-1038.698304,-672.5988113,-522.1886707,-801.3374765
-390.5035705,-1055.283812,-671.4785427,-545.5813056,-814.233749
-387.1746357,-1049.646417,-673.5094522,-548.8127449,-819.629883
-384.7037338,-1050.412358,-675.7060304,-551.6533969,-813.9269048
-382.0811255,-1049.091914,-671.6742159,-558.3884826,-818.3113303
-383.1094569,-1045.653753,-668.0681893,-558.3893588,-825.5623622
-381.1468429,-1042.420172,-667.1295936,-559.9080449,-835.379646
-379.151211,-1042.706014,-678.7333658,-565.2894517,-847.6309977
-381.0267274,-1036.760956,-678.0131851,-569.349261,-853.3312057
-378.6308834,-1034.264209,-676.1453791,-568.1647284,-849.739286
-378.4555042,-1035.611771,-681.2915374,-571.7829608,-858.0516068
-376.6313964,-1040.902501,-684.3803202,-574.4081883,-872.2649453
-372.0506532,-1040.57323,-693.521498,-575.4673483,-869.2027243
-367.3175571,-1047.373132,-703.5262971,-579.3873149,-883.4047553
-362.5740806,-1054.035632,-703.9834121,-579.9006895,-896.0430719
-357.7355487,-1057.201495,-707.2089851,-580.6075627,-899.0493238
-352.3108236,-1056.735605,-716.2853581,-579.7924144,-898.851962
-346.6206599,-1068.238902,-721.2195113,-582.949118,-906.2407628
-340.6200029,-1111.750337,-724.9381444,-586.0648272,-921.5553989
-339.2754552,-1157.671026,-728.572259,-588.278604,-922.0935804
-335.9317202,-1237.438303,-736.0200373,-589.1041752,-924.3717042
-330.5317492,-1262.849494,-739.83517,-590.0287702,-943.6830946
-324.6561533,-1275.40299,-741.6983992,-589.6207706,-944.2762422
-321.4481518,-1305.336246,-746.9552431,-589.2550723,-941.8223444
-317.2275131,-1342.880403,-749.3222995,-591.4728313,-951.2152283
-312.7330935,-1382.962107,-752.139646,-594.1230225,-960.6164217
-308.2242405,-1390.057489,-752.9709347,-596.9708372,-962.915982
-304.4002524,-1408.566327,-753.5440952,-599.7353338,-962.8380443
-303.5968371,-1410.441656,-752.4563734,-601.4166445,-967.2108288
-300.2751789,-1427.143671,-751.5358029,-600.0645854,-968.6659479
-295.882761,-1446.36648,-750.928231,-602.0646159,-972.609417
-293.2071935,-1479.002596,-751.1574037,-602.1439364,-974.4815341
-293.1823841,-1493.464713,-752.1402894,-605.6703876,-974.4366979
-290.4748893,-1500.398115,-764.7347244,-605.9464721,-982.2312121
-286.6458266,-1506.693083,-766.0577275,-607.9224737,-1005.141219
-282.5996419,-1514.028248,-768.0533534,-608.8481528,-1008.712352
-277.1618123,-1522.102634,-770.1841995,-607.9847104,-1011.657821
-274.8347093,-1526.102801,-774.2257846,-607.1893926,-1013.984064
-270.922289,-1532.492372,-779.2024231,-605.9052777,-1017.59412
-267.1451535,-1542.183335,-784.1399322,-605.2254759,-1042.521456
-265.9522448,-1554.601458,-790.0080647,-603.275195,-1045.303992
-260.9951863,-1576.603952,-793.1497393,-600.932567,-1062.65093
-259.5295178,-1650.537819,-798.9414992,-604.1538707,-1073.34121
-256.0334112,-1748.720666,-805.949773,-601.0756693,-1083.46098
-252.2956933,-1821.518364,-808.1511801,-598.0021168,-1085.878201
-248.3366088,-1835.636479,-818.3917215,-595.8857079,-1099.280862
-242.9783954,-1848.148043,-823.5142197,-592.1657668,-1104.487427
-237.1035457,-1858.952904,-840.5567875,-589.1561101,-1102.00395
-233.9946063,-1874.882252,-849.4370131,-588.2883816,-1132.400509
-229.0280234,-1890.559751,-858.1076958,-584.1797302,-1137.902511
-225.2758414,-1894.570044,-863.3697543,-585.6384118,-1137.885357
-220.3146134,-1900.241161,-863.1396886,-582.8608549,-1138.044064
-218.2976234,-1898.96535,-864.9884175,-576.986606,-1139.426548
-216.1391779,-1904.003057,-876.2598027,-577.812813,-1142.380225
-213.0137862,-1912.780364,-869.3706145,-577.8604177,-1147.713562
-211.2212477,-1918.784911,-864.5613494,-576.3338481,-1147.492586
-207.3685448,-1912.471421,-869.4137586,-570.2152166,-1152.198105
-206.9136186,-1909.822311,-852.4708216,-570.1876288,-1152.611051
