DQN,PPO,A2C,A2C-MLP,A2C-SU
-130.6713769,-493.4428111,-99.37798103,-673.2147334,-405.7491858
-157.1543207,-469.091156,-110.5405336,-2218.149069,-478.5863065
-304.5926875,-358.9937753,-122.1145958,-1655.556499,-467.7020253
-388.4444372,-315.1527985,-126.133837,-1352.070506,-545.579248
-444.94585,-279.5212096,-133.5189778,-1163.496501,-650.6754297
-480.829454,-239.7899495,-131.8181366,-1065.849996,-659.0047146
-514.5492918,-229.9729644,-131.4569956,-984.3357861,-643.1091852
-539.2083621,-219.5790003,-126.1344493,-938.2670472,-615.9202423
-557.5515381,-209.7039011,-123.1543363,-884.3140398,-639.0162927
-570.2845697,-202.4059983,-114.8735333,-883.4649644,-629.683732
-579.8941417,-192.3854578,-117.4150694,-861.3310809,-621.9118425
-582.0119077,-187.9024925,-121.4122591,-838.6393367,-689.8486589
-591.404772,-172.2034762,-123.8137939,-814.9241412,-646.9869244
-581.9964106,-169.4608939,-124.0067756,-795.0018849,-637.1477209
-581.7378448,-167.9215248,-118.4644663,-781.1056198,-603.6302381
-578.5838256,-167.5973157,-117.5790206,-763.0198542,-642.1969698
-577.6569892,-167.1049466,-118.6567411,-756.4594518,-666.2689139
-573.8789715,-166.0283642,-118.9155984,-744.7916644,-672.9622909
-553.3074224,-164.8355115,-118.0501135,-738.2742423,-706.5727553
-548.8976485,-161.056229,-120.5153849,-724.0421095,-762.1236824
-547.8353528,-159.5256389,-120.2721163,-702.4993033,-762.157834
-540.1477922,-161.5066028,-121.1373291,-705.9827097,-756.9974465
-522.9831278,-160.3533973,-123.5583982,-714.9941331,-728.1589983
-518.9904791,-159.2802059,-118.2477364,-706.7351431,-752.3780583
-517.8471512,-158.6151586,-121.8615529,-700.6821633,-744.3341823
-515.9164751,-160.1521356,-123.5475319,-682.9532879,-744.0282886
-522.0115117,-160.3792324,-119.5096624,-678.6743981,-721.988966
-516.738138,-159.2474829,-120.6127998,-660.7883388,-717.8937695
-517.2057511,-157.2597878,-121.3068382,-658.315188,-722.4453541
-518.6362213,-155.6454263,-122.2271472,-645.8109805,-720.2409826
-511.7934559,-155.2731175,-121.8929815,-645.293419,-774.341269
-516.8291482,-153.6938613,-121.8724957,-631.3026921,-816.2018571
-509.7067971,-153.8652789,-122.5299814,-615.4946257,-806.4106733
-509.800183,-154.1941,-123.6179131,-601.8242386,-805.7426194
-509.4661097,-152.2848243,-124.0379053,-599.3141647,-800.8954824
-510.3941098,-151.0791388,-124.4971963,-587.4314647,-806.3517115
-514.9228082,-150.3318105,-123.2669569,-581.088559,-808.0099339
-520.098585,-149.8792314,-123.9096578,-576.5335593,-807.0012432
-517.551663,-149.4257594,-124.1531052,-566.7562335,-810.3614634
-520.1359467,-148.8118973,-125.412211,-570.7260536,-809.8826079
