Episode,Train Reward,Test Reward,Mean Train Reward,Mean Test Reward,Duration
1,-136.0680867440282,-673.2147333990167,-136.0680867440282,-673.2147333990167,1125.5134768486023
2,-399.3127357646991,-3763.0834040272935,-267.69041125436365,-2218.149068713155,1125.5134768486023
3,-416.2217040376765,-530.3713584610609,-317.20084218213464,-1655.5564986291236,1125.5134768486023
4,-598.4075634137323,-441.6125265630482,-387.50252249003404,-1352.0705056126046,1125.5134768486023
5,-205.17245012832717,-409.2004827649476,-351.03650801769265,-1163.4965010430733,1125.5134768486023
6,-108.85958645654543,-577.6174727625926,-310.67368775750145,-1065.84999632966,1125.5134768486023
7,-226.21616665334082,-495.250524887651,-298.60832759976427,-984.3357861236587,1125.5134768486023
8,-306.1411471912759,-615.7858748173262,-299.5499300487032,-938.2670472103671,1125.5134768486023
9,-256.6354194475135,-452.6899802932626,-294.7816510930154,-884.3140397751332,1125.5134768486023
10,-443.69634603487674,-875.823285550786,-309.67312058720154,-883.4649643526985,1125.5134768486023
11,-261.9049159945083,-639.9922465898442,-305.33055653332036,-861.3310809197118,1125.5134768486023
12,-379.6816324846601,-589.0301506680137,-311.5264795292653,-838.6393367320702,1125.5134768486023
13,-77.70892012959177,-530.3417950037948,-293.5405134215981,-814.9241412145105,1125.5134768486023
14,-120.35110953320682,-536.0125532710257,-281.16984171528446,-795.0018849328331,1125.5134768486023
15,-115.48324615792359,-586.5579072097023,-270.12406867812706,-781.1056197512911,1125.5134768486023
16,-279.5527145104353,-491.73337171647427,-270.71335904264635,-763.019854249115,1125.5134768486023
17,-48.240670223769285,-651.4930126623174,-257.6267302885948,-756.4594518028327,1125.5134768486023
18,-90.44482516755343,-546.4392781835656,-248.33884667075912,-744.7916643795402,1125.5134768486023
19,-108.0656028721192,-620.9606440403902,-240.95604436556755,-738.274242256427,1125.5134768486023
20,-159.9135766814445,-453.631587220682,-236.9039209813614,-724.0421095046397,1125.5134768486023
21,-84.10628792222836,-271.6431786451316,-229.62784321664077,-702.4993032732345,1125.5134768486023
22,-102.11005786401026,-779.1342436446986,-223.83158024606664,-705.9827096537557,1125.5134768486023
23,-331.08258494446636,-913.2454480429793,-228.49466740686663,-714.9941330619828,1125.5134768486023
24,-111.3855159401404,-516.7783739624911,-223.61511942908638,-706.7351430995041,1125.5134768486023
25,-123.49764610703906,-555.4106478856381,-219.61042049620448,-700.6821632909493,1125.5134768486023
26,-95.52891025945955,-239.73140441480206,-214.83805471786815,-682.953287949559,1125.5134768486023
27,-265.95723510342884,-567.4232615285518,-216.73135769511114,-678.6743980821143,1125.5134768486023
28,-196.3048265625205,-177.8647371635193,-216.00183872609003,-660.7883387635931,1125.5134768486023
29,-129.7540994314067,-589.066966084149,-213.0277787504113,-658.3151879815433,1125.5134768486023
30,-165.3738169300436,-283.1889648175726,-211.43931335639903,-645.8109805427442,1125.5134768486023
31,-102.39928055656917,-629.7665721245426,-207.9218929435013,-645.2934189808667,1125.5134768486023
32,-85.38920841361116,-197.59015997331807,-204.09274655194224,-631.302692136881,1125.5134768486023
33,-111.89068637263829,-109.63650118150215,-201.29874472832697,-615.4946257442938,1125.5134768486023
34,-80.199841211217,-150.70146419308577,-197.73701227194138,-601.8242386398465,1125.5134768486023
35,-172.66650929997445,-513.9716504435344,-197.02071218702804,-599.3141646913805,1125.5134768486023
36,-70.32756077097102,-171.53696478398973,-193.50145798102645,-587.431464693953,1125.5134768486023
37,-164.5551547320739,-352.7439528983093,-192.71912546078448,-581.0885589697464,1125.5134768486023
38,-114.4698095892744,-407.9985703932317,-190.65993293785002,-576.5335592703644,1125.5134768486023
39,-105.07561811018041,-195.21785561127734,-188.46546332688413,-566.756233535516,1125.5134768486023
40,-221.9167283667187,-725.5490366355855,-189.30174495288,-570.7260536130176,1125.5134768486023
41,-291.30687742051884,-360.2771231343569,-191.7896750130663,-565.5931528696357,1125.5134768486023
42,-147.06533595855413,-362.83314211202133,-190.72480979748266,-560.7655335658828,1125.5134768486023
43,0.5193148613766567,-190.4237143481709,-186.2772720147185,-552.1529331189594,1125.5134768486023
44,-375.1998596701164,-241.78805771714613,-190.5709671887048,-545.0991859507362,1125.5134768486023
45,-289.3191368554666,-169.07239382464638,-192.7653709590773,-536.7430350146009,1125.5134768486023
46,-101.94419370008693,-189.3902636964512,-190.7909975404036,-529.1918878120324,1125.5134768486023
47,-119.4894046744692,-137.00882069348629,-189.27394237304327,-520.8475672350421,1125.5134768486023
48,-94.33154793656854,-29.46900473813612,-187.2959758222834,-510.61051384969005,1125.5134768486023
49,-100.57921371147759,-290.3559977052008,-185.52624598328734,-506.1155237242923,1125.5134768486023
50,-352.3301181458347,-110.7094347472014,-188.86232342653832,-498.2074019447505,1125.5134768486023
51,-141.47220710498414,-48.6215057050167,-187.933105459449,-489.3919922145596,1125.5134768486023
52,-177.19495299608488,-111.41324043620216,-187.72660252746124,-482.12317006497585,1125.5134768486023
53,-205.5413425590104,51.27589639987343,-188.06272969786784,-472.0590367354503,1125.5134768486023
54,-108.34572348766167,-264.25557733409266,-186.5864888421233,-468.2108245243141,1125.5134768486023
55,-147.65013822060058,-118.30364472466263,-185.87855519445924,-461.8488758006841,1125.5134768486023
56,-123.75894234574446,-504.6636971588238,-184.7692763935893,-462.6134261820794,1125.5134768486023
57,-127.55408260320795,-244.38618105007433,-183.7655010639335,-458.78487802186885,1125.5134768486023
58,-193.30817395898657,-455.28815489450955,-183.93002990695166,-458.72458969208674,1125.5134768486023
59,-355.56841386143935,-377.2067126215324,-186.83915505872267,-457.34293075868754,1125.5134768486023
60,-211.490655121692,64.58777640738128,-187.25001339310546,-448.64408563925303,1125.5134768486023
61,-118.4500162866977,-408.4082374676879,-186.1221445880824,-447.9844815708667,1125.5134768486023
62,-73.53190317762076,-353.6843610416761,-184.3061729524298,-446.46351188491207,1125.5134768486023
63,-287.4393868774206,-63.51955320301517,-185.94320809409632,-440.38503635027877,1125.5134768486023
64,-162.47527245084385,-365.0190802227821,-185.57652159967049,-439.2074432857866,1125.5134768486023
65,-143.73600166831793,-202.5818130274084,-184.9328212930343,-435.56704897411925,1125.5134768486023
66,-147.62921669317865,-390.26225767571424,-184.36761516273344,-434.88061274232524,1125.5134768486023
67,-108.24487908555749,-301.55924672908384,-183.23145492277558,-432.89074160779927,1125.5134768486023
68,-84.71520387331768,-488.63771494040265,-181.78268652498946,-433.7105500391611,1125.5134768486023
69,-198.57434491880525,-309.57934086624584,-182.02604389301578,-431.9115470076696,1125.5134768486023
70,-28.979863811862003,-460.2084795775006,-179.83966989185643,-432.3157889015243,1125.5134768486023
71,-118.6776423547695,-386.8107602950016,-178.97823288429183,-431.6748730056578,1125.5134768486023
72,-100.8577804725754,-303.3773008411609,-177.89322660079577,-429.89296228115086,1125.5134768486023
73,-84.12972375707167,-311.75212605813044,-176.60879505499133,-428.27459466165743,1125.5134768486023
74,-65.60824827448764,-411.98849248137464,-175.1087876660656,-428.05451219976175,1125.5134768486023
75,-126.52882623776084,-218.22942270094083,-174.46105484702156,-425.25684433977744,1125.5134768486023
76,-95.34390540212667,-337.1127341875006,-173.42003972274665,-424.09705341672117,1125.5134768486023
77,-60.79331814003767,-30.21479040560689,-171.9573550268673,-418.9816993516418,1125.5134768486023
78,-103.3239845643076,6.1390520530296016,-171.07744002093705,-413.53143330799213,1125.5134768486023
79,-180.01220759357932,-90.18017720220712,-171.1905383446414,-409.43837943323535,1125.5134768486023
